sector,subsector_L3,subsector_L2,subsector_L1,vehicle_type,technology,aggr_mode,aggr_veh,nonmot,aggr_nonmot,det_veh
Pass,trn_pass_road,trn_pass_road_LDV,trn_pass_road_LDV_4W,Subcompact Car,BEV,Pass|Road|LDV,NA,NA,NA,Pass|Road|LDV|Small
Pass,trn_pass_road,trn_pass_road_LDV,trn_pass_road_LDV_4W,Subcompact Car,FCEV,Pass|Road|LDV,NA,NA,NA,Pass|Road|LDV|Small
Pass,trn_pass_road,trn_pass_road_LDV,trn_pass_road_LDV_4W,Subcompact Car,Hybrid Electric,Pass|Road|LDV,NA,NA,NA,Pass|Road|LDV|Small
Pass,trn_pass_road,trn_pass_road_LDV,trn_pass_road_LDV_4W,Subcompact Car,Liquids,Pass|Road|LDV,NA,NA,NA,Pass|Road|LDV|Small
Pass,trn_pass_road,trn_pass_road_LDV,trn_pass_road_LDV_4W,Subcompact Car,NG,Pass|Road|LDV,NA,NA,NA,Pass|Road|LDV|Small
Pass,trn_pass_road,trn_pass_road_LDV,trn_pass_road_LDV_4W,Van,BEV,Pass|Road|LDV,NA,NA,NA,Pass|Road|LDV|Van
Pass,trn_pass_road,trn_pass_road_LDV,trn_pass_road_LDV_4W,Van,FCEV,Pass|Road|LDV,NA,NA,NA,Pass|Road|LDV|Van
Pass,trn_pass_road,trn_pass_road_LDV,trn_pass_road_LDV_4W,Van,Hybrid Electric,Pass|Road|LDV,NA,NA,NA,Pass|Road|LDV|Van
Pass,trn_pass_road,trn_pass_road_LDV,trn_pass_road_LDV_4W,Van,Liquids,Pass|Road|LDV,NA,NA,NA,Pass|Road|LDV|Van
Pass,trn_pass_road,trn_pass_road_LDV,trn_pass_road_LDV_4W,Van,NG,Pass|Road|LDV,NA,NA,NA,Pass|Road|LDV|Van
